No candidate mentioned,Neutral,RT @NancyLeeGrahn: How did everyone feel about the Climate Change question last night? Exactly. #GOPDebate
Scott Walker,Positive,RT @ScottWalker: Didn't catch the full #GOPdebate last night. Here are some of Scott's best lines in 90 seconds. #Walker16 http://t.co/ZSfF
No candidate mentioned,Neutral,RT @TJMShow: No mention of Tamir Rice and the #GOPDebate was held in Cleveland? Wow.
No candidate mentioned,Positive,RT @RobGeorge: That Carly Fiorina is trending -- hours after HER debate -- above any of the men in just-completed #GOPdebate says she's on 
Donald Trump,Positive,RT @DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 http://t.co
Ted Cruz,Positive,"RT @GregAbbott_TX: @TedCruz: ""On my first day I will rescind every illegal executive action taken by Barack Obama."" #GOPDebate @FoxNews"
No candidate mentioned,Negative,RT @warriorwoman91: I liked her and was happy when I heard she was going to be the moderator. Not anymore. #GOPDebate @megynkelly  https://
No candidate mentioned,Neutral,Going on #MSNBC Live with @ThomasARoberts around 2 PM ET.  #GOPDebate
Ben Carson,Negative,"Deer in the headlights RT @lizzwinstead: Ben Carson, may be the only brain surgeon who has performed a lobotomy on himself. #GOPDebate"
No candidate mentioned,Negative,RT @NancyOsborne180: Last night's debate proved it! #GOPDebate #BATsAsk @BadassTeachersA #TBATs  https://t.co/G2gGjY1bJD
Donald Trump,Negative,@JGreenDC @realDonaldTrump In all fairness #BillClinton owns that phrase.#GOPDebate
Mike Huckabee,Positive,RT @WayneDupreeShow: Just woke up to tweet this out #GOPDebate   Best line of the night via @GovMikeHuckabee http://t.co/6OV5hxHIcV
No candidate mentioned,Negative,Me reading my family's comments about how great the #GOPDebate was http://t.co/gIaGjPygXZ
Jeb Bush,Neutral,"RT @ArcticFox2016: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/TtFG7KYcd9"""
Scott Walker,Positive,RT @pattonoswalt: I loved Scott Walker as Mark Harmon's romantic rival in SUMMER SCHOOL. Look it up. #GOPDebate
Chris Christie,Negative,Hey @ChrisChristie exploiting the tragedy of 9/11 for your own political gain is @rudygiulianiGOP's thing #GOPDebate
Donald Trump,Negative,RT @CarolCNN: #DonaldTrump under fire for comments about women @PeterBeinart @SL_Schaeffer @IWF @@MyRkiger weigh in on #GOPdebate http://t.
