"tweet_id","candidate","name","tweet_created","tweet_location","user_timezone","retweet_count","text"
"703086176333246464","Carson","BestowerOfKnowledge","02/26/2016 00:16","CA","Arizona","7","RT @Terrence_CFP: #Carson＊s health care plan is to pay for it yourself and if you cant＊ afford it ask a family member #GOPDebate"
"703091140224913409","Trump","? madeline ?","02/26/2016 00:36","tx","Central Time (US & Canada)","573","RT @toddstarnes: Trump: ※I don＊t repeat myself. I don＊t repeat myself.§ #GOPDebate"
"703089064166076416","Rubio","RobAndrews916","02/26/2016 00:27","North Carolina ","Eastern Time (US & Canada)","318","RT @gov: Top Tweeted moment for #GOPDebate: Rubio and Trump debate healthcare plans; Rubio says Trump repeats himself https://t.co/3kjIJA9S＃"
"703087269285011456","Carson","patrick proc","02/26/2016 00:20","",,"0","Quote of the night ""can someone attack me"" Ben Carson #GOPDebate made my night."
"703089591851552768","Carson","shazia","02/26/2016 00:29","",,"731","RT @ajplus: ※Healthcare is not a right.§

每Ben Carson, a BRAIN SURGEON #GOPDebate https://t.co/ZgiQSrvPgj"
"703088260956987392","Rubio","Scott Adair","02/26/2016 00:24","","Pacific Time (US & Canada)","64","RT @thehill: #GOPdebate crowd erupts as Rubio mocks Trump for repeating himself | WATCH: https://t.co/AzVZJn6CJw https://t.co/3jIvc3tUIy"
"703094406883069952","Trump","Fact","02/26/2016 00:49","","Pacific Time (US & Canada)","0","sarahdrozda: RT marcorubio: Thank you for all your support tonight at the #GOPDebate. Now＊s the time to join the t＃ https://t.co/6RNUtgbAmG"
"703089092314009600","Cruz","Maxine Lipira","02/26/2016 00:27","Albuquerque, New Mexico",,"17","RT @JayS2629: Rubio and Cruz had to bring Trump down in the #GOPDebate. They failed. https://t.co/I8xOppjw1T via slate"
"703094635334250496","Cruz","Rebekah O'Neill","02/26/2016 00:49","New York","London","28","RT @thehill: Cruz attacks Trump University: https://t.co/72aSVqKunC #GOPdebate https://t.co/fCXOm8oqtP"
"703092171033825281","Cruz","Hotzenplotz","02/26/2016 00:40"," �������������� (censored)","Vienna","235","RT @WayneDupreeShow: LOL...Cruz just admitted Trump funded him $5K 

WOW nobody knew that

#GOPdebate #WAARadio"
