"tweet_id","candidate","name","tweet_created","tweet_location","user_timezone","retweet_count","text"
"ID708105457362083841","Trump","Nikki Now","03/10/2016 20:41","",,"54","RT @Chris_Dignam: Another #TrumpRally , another senseless assault https://t.co/9Hcdk2sIJ7 #Trump #GOPDebate"
"ID707991330983510017","Rubio","Meredith Mateer","03/10/2016 13:07","Campbell","Pacific Time (US & Canada)","114","RT @KeithOlbermann: Were Rubio smart, he should drop out mid-debate, say Trump's worse than HRC, tell Donnie to STFU, drop mic
#gets2020Nom¡­"
"ID708081396783259648","Cruz","Rebekah Moore","03/10/2016 19:05","","Pacific Time (US & Canada)","8","RT @Elisabeth242: I will watch the #GOPDebate to see Ted Cruz. Trump is pure torture to watch though. He only lies and insults his way thro¡­"
"ID708100539066785793","Trump","Stella","03/10/2016 20:21","",,"1","RT @MikeCiandella: Interested to hear Ben Carson's reason(s) for supporting Trump #GOPDebate"
"ID708100716963889152","Trump","President Trump","03/10/2016 20:22","The White House",,"0","If @CNN asks #Trump abt pledges at rally's, can they also talk about #Obama? #Trump2016 #GOPDebate #CNNDebate #CNN https://t.co/tyw5t2ShZs"
"ID708108680609202181","Trump","Kay Phillips Roy","03/10/2016 20:54","Little Rock, AR",,"99","RT @RightForRubio: Notice how Donald Trump always talks about ""the Republicans"" like he isn't one?

That's because he isn't.  #GOPDebate #N¡­"
"ID708030623974346752","Trump","SergZerg","03/10/2016 15:43","","Moscow","313","RT @immigrant4trump: Luther Campbell on CNN ""Rappers will support Trump.Trump taps into what people won't say aloud""#Trump2016 #GOPDebate h¡­"
"ID708081645614534656","Trump","Sarah 4 TRUMP","03/10/2016 19:06","Virginia, USA",,"11","RT @JoePrich: @MichelleFields  this entire thing was a HOAX designed to put Trump on the defensive before the #GOPdebate"
"ID708108466058104832","Cruz","Mike Marbach","03/10/2016 20:53","South Philly","Eastern Time (US & Canada)","700","RT @pattonoswalt: The fact that Kasich, Cruz and Rubio have said they'd support Trump for president disqualifies them from being President.¡­"
"ID708106663866163200","Rubio","Sheila Wagner","03/10/2016 20:45","",,"4","RT @MarcoisAmerica: It¡¯s simple: Marco Rubio is the only one in Florida who can stop Trump.

https://t.co/pbqKWGvuWG

#FLPrimary #FloridaPr¡­"
"ID708108362085474310","Trump","Matt Coggins","03/10/2016 20:52","Kansas City","Eastern Time (US & Canada)","1","Considering how aggressively the GOP has campaigned against Trump, they must not plan on him being the nominee #GOPDebate"
"ID708008319416283136","Rubio","Top Blog Sites","03/10/2016 14:15","San Diego, California","Pacific Time (US & Canada)","42","RT @MDGallar: Rubio now denies lying to FL voters or supporting amnesty. We have photos of it Li'l Marco. 
#GOPdebate
#FLprimary https://t.¡­"
