"tweet_id","candidate","name","tweet_created","tweet_location","user_timezone","retweet_count","text"
"7.03022E+17","Carson","Jill Holshouser","2/26/16 0:59","null","null","0","@wolfblitzer @CNN @MariaCeleste we dont care about fighting! Policy questions for BENJAMIN SOLOMON CARSON! #EQUALTIME!#GOPDebate"
"7.03021E+17","Carson","Jeremy Newberger","2/26/16 0:59"," NEW YORK","Eastern Time (US & Canada)","0","After this debate Ben Carson�s next campaign stop, is actually just his campaign stopping. #GOPDebate"
"7.03021E+17","Carson","Jill Holshouser","2/26/16 0:58","null","null","2","@wolfblitzer @CNN @MariaCeleste LET'S HEAR FROM DR BEN CARSON! EQUAL TIME AND POLICY!#BENCARSON2016 #BC2DC16 #WINBENWIN #GOPDebate"
"7.03021E+17","Carson","Almighty$quirrelly??","2/26/16 0:58","Macon, GA","Eastern Time (US & Canada)","0","Ben Carson needs to drop out of the race. #GOPDebate ??"
"7.03021E+17","Carson","Jill Holshouser","2/26/16 0:56","null","null","0","@wolfblitzer @CNN @MariaCeleste Please give BEN CARSON EQUAL TIME AND POLICY QUESTIONS! HE IS NOT QUITTING! #GOPDebate #BENCARSON2016"
"7.0302E+17","Carson","Jason Ladanye","2/26/16 0:54","Albany, NY","Quito","0","Tip for tonights #GOPdebate: Get your refreshments when Ben Carson talks so you don't miss out on any of the action."
"7.0302E+17","Carson","Jay Prufrock","2/26/16 0:54","null","Eastern Time (US & Canada)","0","If Ben Carson remembers to actually go out on the stage tonight, it's an automatic 10 points. #GOPDebate"
"7.0302E+17","Carson","mark slavin","2/26/16 0:54","33.509759,-112.084161","Pacific Time (US & Canada)","0","#GOPDebate  Ben Carson is the Pete Best of tonight's debate"
"7.0302E+17","Carson","?Karen?","2/26/16 0:52","People's Republic of Maryland","Eastern Time (US & Canada)","1","RT @Battleborne: #GOPdebate .@realBenCarson is still in because he takes time for the little people.. cares https://t.co/hy5s2tqFuZ https:/�"
"7.0302E+17","Carson","Alpha Papa�","2/26/16 0:52","England","Casablanca","0","I understand that Ben Carson had been chilling out before the #GOPDebate by watching his favourite movie https://t.co/KFnr3nq62g"
"7.0302E+17","Carson","?Karen?","2/26/16 0:52","People's Republic of Maryland","Eastern Time (US & Canada)","9","RT @AndyHamstdl: I think Ben Carson is the right man for the Republicans #GOPDebate"
"7.0302E+17","Carson","?Karen?","2/26/16 0:51","People's Republic of Maryland","Eastern Time (US & Canada)","6","RT @hye_alexis: Ben Carson, best candidate, ignored in some media reporting | Bradenton Herald #SCPrimary #SouthCarolina #GOPDebate  https:�"
"7.03018E+17","Carson","Jacob�","2/26/16 0:46","null","Central Time (US & Canada)","0","It's getting closer to game time! #GOPDebate: Who's your fighter? I'd like to see Sleepy Carson come out swinging with a shot of Red Bull!"
"7.03018E+17","Carson","Suzanne Cathey","2/26/16 0:45","null","null","5","RT @jillholshouser: @RealBenCarson You rock it Dr CARSON lije you did last night on #KellyFile  town hall! AMERICA....eyes wide open! #BENC�"
"7.03018E+17","Carson","Suzanne Cathey","2/26/16 0:45","null","null","9","RT @jillholshouser: @CNN @wolfblitzer DID YOU SEE BEN CARSON ON TOWN HALL? WOW! LET HIM TALK POLICY AT YOUR DEBATE! #HOMERUN#GOPDebate #CAR�"
"7.03018E+17","Carson","Ally","2/26/16 0:44","UTSA/UT '19","Central Time (US & Canada)","0","Pretty sure Ben Carson was high af on the #GOPDebate snapchat story"
"7.03017E+17","Carson","Walt","2/26/16 0:40","Nevada","Pacific Time (US & Canada)","1","#GOPdebate .@realBenCarson is still in because he takes time for the little people.. cares https://t.co/hy5s2tqFuZ https://t.co/VBohmAf8iQ"
"7.03016E+17","Carson","Jeremy Newberger","2/26/16 0:36"," NEW YORK","Eastern Time (US & Canada)","0","Ben Carson is likely in his green room shooting pool to Ludwig van Beethoven's Ode to Joy.
#GOPDebate"
"7.03016E+17","Carson","Paul Hyde","2/26/16 0:35","Greenville, SC","null","1","#BenCarson takes a break from politics to talk about ... https://t.co/mikRRXyCt9 via @GreenvilleNews #GOPDebate #GOP #republicandebate"
