"tweet_id","candidate","name","tweet_created","tweet_location","user_timezone","retweet_count","text"
"ID708105457362083841","Trump","Nikki Now","03/10/2016 20:41","null","null","54","RT @Chris_Dignam: Another #TrumpRally , another senseless assault https://t.co/9Hcdk2sIJ7 #Trump #GOPDebate"
"ID708100716963889152","Trump","President Trump","03/10/2016 20:22","The White House","null","0","If @CNN asks #Trump abt pledges at rally's, can they also talk about #Obama? #Trump2016 #GOPDebate #CNNDebate #CNN https://t.co/tyw5t2ShZs"
"ID708030623974346752","Trump","SergZerg","03/10/2016 15:43","null","Moscow","313","RT @immigrant4trump: Luther Campbell on CNN ""Rappers will support Trump.Trump taps into what people won't say aloud""#Trump2016 #GOPDebate h��"
"ID708081645614534656","Trump","Sarah 4 TRUMP","03/10/2016 19:06","Virginia, USA","null","11","RT @JoePrich: @MichelleFields  this entire thing was a HOAX designed to put Trump on the defensive before the #GOPdebate"
"ID708108362085474310","Trump","Matt Coggins","03/10/2016 20:52","Kansas City","Eastern Time (US & Canada)","1","Considering how aggressively the GOP has campaigned against Trump, they must not plan on him being the nominee #GOPDebate"
"ID708008319416283136","Rubio","Top Blog Sites","03/10/2016 14:15","San Diego, California","Pacific Time (US & Canada)","42","RT @MDGallar: Rubio now denies lying to FL voters or supporting amnesty. We have photos of it Li'l Marco. 
#GOPdebate
#FLprimary https://t.��"
"ID708104706908942340","Trump","Demian Hammock","03/10/2016 20:38","Sackville, New Brunswick","null","0","#GOPDebate Would you move to Canada if Trump became President ? https://t.co/7norhcUUZb https://t.co/qna9LONRSE"
"ID708110085176889345","Trump","Sebastian J Russo","03/10/2016 20:59","null","Eastern Time (US & Canada)","64","RT @immigrant4trump: Trump: 'Politicians are all talk, no action' 
Look?https://t.co/CnYQ1FC8KF #Trump2016 #GOPDebate #Florida #FLPrimary h��"
"ID708109805215490048","Kasich","The Washington Times","03/10/2016 20:58","Washington, D.C.","Eastern Time (US & Canada)","5","#JohnKasich must win home state of #Ohio without support of conservative activists: https://t.co/eHpZGDytrv #GOPDebate"
"ID708100642636742661","Rubio","Madman in a Blue Box","03/10/2016 20:22","Columbus, OH","Eastern Time (US & Canada)","5","RT @sueinphilly: This will be the last time we see Rubio at #GOPDebate 
Bye #inners"
"ID707793722025644032","Kasich","Axion","03/10/2016 00:02","Dawg Cabin, CA","Pacific Time (US & Canada)","119","RT @AnnTelnaes: Then you're in the wrong party, Gov. Kasich #GOPDebate https://t.co/JPocK5qI9w"
"ID708102510179852288","Trump","Justice Milk","03/10/2016 20:29","null","null","0","#gopdebate #Trump #MemeHistory #BrownAndUnbothered #donaldtrump

TheVulgarPuppy @YouTube

https://t.co/GU8IQP1b1A https://t.co/5UaxFpchet"
"ID708107330479587328","Trump","Mike Schlossberg","03/10/2016 20:48","?T: 40.673778,-75.13303","Quito","4","What will Trump lie about first tonight? #GOPDebate"
"ID708089169449492481","Trump","Mimi874","03/10/2016 19:36","null","Quito","136","RT @scottienhughes: You know it's going to be a great night when you U run into @AnnCoulter before #GOPDebate #Trump https://t.co/F36lSkkqXw"
"ID708108488279519232","Cruz","Roger Hanson","03/10/2016 20:53","Ohio","Eastern Time (US & Canada)","0","Cruz has a  number of parallels to another first-term Senator who was elected  president in 2008; US President Barack Obama #GOPDebate"
